organism	kingdom	phylum	class	order	family	genus	species
Talaromyces pinophilus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces sect. Talaromyces;Talaromyces pinophilus		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces
Talaromyces proteolyticus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces sect. Bacilispori;Talaromyces proteolyticus		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces
Trapelia coarctata	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Trapeliales;Trapeliaceae;Trapelia;Trapelia coarctata		Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Trapelia
Trichophyton interdigitale H6	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Onygenales;Arthrodermataceae;Trichophyton;Trichophyton interdigitale;Trichophyton interdigitale H6		Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Umbilicaria vellea	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Umbilicariomycetidae;Umbilicariales;Umbilicariaceae;Umbilicaria;Umbilicaria vellea		Ascomycota	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Umbilicaria
Usnochroma carphineum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Caloplacoideae;Usnochroma;Usnochroma carphineum		Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Usnochroma
Ustilaginoidea virens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Clavicipitaceae;Ustilaginoidea;Ustilaginoidea virens		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Ustilaginoidea
Viridothelium virens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Trypetheliales;Trypetheliaceae;Viridothelium;Viridothelium virens		Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Viridothelium
Xylariaceae sp. FL0594	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;unclassified Xylariaceae;Xylariaceae sp. FL0594		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	
Xylariaceae sp. FL0662B	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;unclassified Xylariaceae;Xylariaceae sp. FL0662B		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	
Xylaria grammica	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Xylaria;Xylaria grammica		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria
Xylaria longipes	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Xylaria;Xylaria longipes		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria
Xylaria sp. FL1042	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Xylaria;unclassified Xylaria;Xylaria sp. FL1042		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria
Xylographa soralifera	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Baeomycetales;Xylographaceae;Xylographa;Xylographa soralifera		Ascomycota	Lecanoromycetes	Baeomycetales	Xylographaceae	Xylographa
Zopfia rhizophila CBS 207.26	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Zopfiaceae;Zopfia;Zopfia rhizophila;Zopfia rhizophila CBS 207.26		Ascomycota	Dothideomycetes		Zopfiaceae	Zopfia
